Key,Name_EN,Name_TH,Desc_EN,Desc_TH,MaxCount,Unlocks
ACH_BALANCE_FOREVER_LOST,Balance Forever Lost,,Fight against the Guardian Twins simultaneously and emerge victorious.,,1,St_E_SliceThroat
ACH_BLACKCAT_DEJAVU,Déjà vu,,Pet the cat.,,1,St_L_MentalCorruption
ACH_BURNING_LOVE,Burning Love,,Acquire Pyrana's Love.,,1,St_L_PyranasFireball
ACH_CHAOTIC_GOOD,Chaotic Good,,Use Legendary Chaos a total of 5 times.,,5,Gem_L_ChaosApple
ACH_DESPERATE_HERO,Desperate Hero,,Defeat 30 enemies in a row while your Health is below 40%.,,1,Gem_E_Direness
ACH_ELECTRIC_TYPE,Electric Type,,"Deal 1,500 or more damage in a single hit.",,1,St_E_ChainLightning
ACH_ELEMENTALS_101,Introduction to Elements,,Defeat enemies affected by all 4 elements 70 times.,,70,Gem_E_Inversion
ACH_EMPTY_CANVAS,Empty Canvas,,Enter the Pure White Dream 2 times in total.,,2,Gem_L_PureWhite
ACH_ETERNAL_REST,Eternal Rest,,Deliver a total of 50 finishing blows to Soul Swordsmen using basic attacks.,,50,St_R_DancingBlades
ACH_EVERYONE_LETS_NOT_PANIC,Keep Calm and Carry On,,Defeat Heroic Bosses 8 times while your Health is below 25%.,,8,Gem_R_Panic
ACH_FIGHTING_COLD_WITH_COLD,Fight Fire with Fire,,Defeat the Snowy Mountain King while having 4 Cold damage Memories.,,1,St_L_Blizzard
ACH_FLEXIBLE_DIET,Flexible Diet,,"During a single adventure, let your Health fall below 40% and then bring it back up to at least 75% 10 times.",,1,Gem_E_Flexibility
ACH_FOUR_OF_A_KIND,Four of a Kind,,Enter the Pure White Dream while having 4 Memories of the same type.,,1,St_L_CoinExplosion
ACH_GOD_PROTECTS_ME,God Protects Me,,"In a single adventure, visit locations occupied by Hunters 4 times while having a Hunt Threat Level of 5.",,1,Gem_L_DivineFaith
ACH_HEAVIER_THAN_ATLAS,Heavier than Atlas,,"Reach 3,000 Maximum Health.",,1,Gem_E_Might
ACH_IN_CARNAGE_I_BLOOM,In Carnage I Bloom,,Empower Memories that deal Dark damage 20 times in a single adventure.,,1,Gem_E_Crimson
ACH_JUST_STAY_STILL,Now Now Stay Still,,"Have 4 Active Memories at once that can Stun, Root, or Knockback.",,1,LucidDream_HarmlessWhispers
ACH_KYAAAAAA,AAAAAAAHH!!,,Survive a single hit that deals 70% or more of your Maximum Health while you have no Barrier.,,1,Gem_R_Blood
ACH_LOYAL_CUSTOMER,Loyal Customer,,Activate the Shrine of Guidance 15 times in a single adventure.,,1,Gem_R_Rejuvenation
ACH_MASTER_OF_MYSTIC_ARTS,Master of Mystic Arts,,Have 4 Active Memories at once with a cooldown of 3 seconds or less.,,1,St_E_MysticDagger
ACH_ME_LOVE_GLOWY_STUFF,Twinkle Twinkle,,Enter the Pure White Dream while having 4 Active Light Attribute Memories.,,1,St_R_OrbOfLight
ACH_MIDAS_HIMSELF,Midas Incarnate,,"Possess 6,000 Gold.",,1,Gem_L_HeartOfGold
ACH_MINE_AND_CRAFT,Mine and Craft,,Destroy 3 Pitch-Black Ore.,,3,Gem_E_Obsidian
ACH_NOVICE_TREASURE_HUNTER,Novice Treasure Hunter,,Open a treasure chest for the first time.,,1,Gem_R_Adventure
ACH_OMEGA_POINT,Omega Point,,Enter the Pure White Dream while having cast only one type of Memory during a single adventure.,,1,Gem_E_Omega
ACH_PEW_PEW_PEW,Pew Pew Pew!,,Apply buffs to allies other than yourself a total of 200 times.,,200,St_C_SparklingWaterGun
ACH_PRAISE_THE_SUN,Praise the Sun!,,"Apply a total of 3,000 Fire stacks to enemies.",,3000,Gem_L_SolarEye
ACH_PYROMANIA,Pyromaniac,,Defeat 250 burning enemies.,,250,St_E_FlameJet
ACH_REAP_WHAT_YOU_SOW,Reap What You Sow,,Activate the Shrine of Dismantling 12 times.,,12,Gem_E_Overload
ACH_RUN_ME_LIKE_A_RACE_HORSE,Whatever It Takes,,Defeat an enemy while they have 30 or more Fire stacks.,,1,St_R_FlamingWhip
ACH_SHIELD_BATTERY,Barrier Battery,,"Mitigate a total of 20,000 damage from enemies using Barriers.",,20000,Gem_R_Snow
ACH_SHOOT_FOR_THE_MOON,Shoot for the Moon,,Land 80 finishing blows on enemies from an extreme distance.,,80,Gem_R_Accuracy
ACH_SNAKE_IN_THE_GRASS,Snake in the Grass,,Take the Merchant's unattended backpack 12 times.,,12,St_E_ClutchesOfMalice
ACH_SUPPORT_MAIN,Support Specialist,,Have 4 healing Active Memories at once.,,1,Gem_E_Blossom
ACH_SUSPICIOUSLY_WEALTHY_TRAVELER,Suspiciously Wealthy Traveler,,"Spend a total of 2,000 Gold.",,2000,Gem_R_Wealth
ACH_TASTE_OF_THEIR_OWN_MEDICINE,Taste of Their Own Medicine,,Defeat the Demon of the Forest by clawing it.,,1,Gem_C_Vengeance
ACH_TEKKAI,Iron Body,,Gain a Barrier equal to or greater than 300% of your Maximum Health.,,1,Gem_E_Protection
ACH_THEYRE_JUST_BIG_CATS,They're Just Big Cats,,Land a finishing blow on Thunder Tigers with lightning 25 times.,,25,Gem_E_Fangs
ACH_THE_EIGHTH_TROPHY,The Eighth Trophy,,Acquire Unique Memories or Essences from Heroic Bosses 8 times.,,8,St_E_CrimsonLance
ACH_THOUSAND_THUNDERS,A Thousand Thunders,,"Land a total of 1,000 critical strikes.",,1000,Gem_R_Shock
ACH_THROUGH_TIME_AND_SPACE,Transcendent Speed,,Reach 6 Attack Speed per second.,,1,Gem_R_Wound
ACH_TRUE_SUPPORT,True Support,,Fully heal an allied Traveler below 30% Health within 1 seconds.,,1,St_E_MassCleanse
ACH_ULTRA_RAPID_FIRE,Ultra Rapid Fire,,Cast 12 Memories within 8 seconds.,,1,Gem_E_Insight
